datetime,year,month,day,hour,solar_util,wind_util,load
2016-01-14T05:00:00Z,2016,1,14,6,0,0.14174344436569808,8922
2016-01-14T06:00:00Z,2016,1,14,7,9.647387969707202e-4,0.11339475549255848,9369
2016-01-14T07:00:00Z,2016,1,14,8,0.01736529834547296,0.11339475549255848,9418
2016-01-14T08:00:00Z,2016,1,14,9,0.0834499059379673,0.10276399716513113,9487
2016-01-14T09:00:00Z,2016,1,14,10,0.22816072548357533,0.1275690999291283,9422
2016-01-14T10:00:00Z,2016,1,14,11,0.37335391442766874,0.10276399716513113,9372
2016-01-14T11:00:00Z,2016,1,14,12,0.3955429067579953,0.08858965272856131,9515
2016-01-14T12:00:00Z,2016,1,14,13,0.3376585789397521,0.08858965272856131,9425
2016-01-14T13:00:00Z,2016,1,14,14,0.20404225555930733,0.0815024805102764,9339
2016-01-14T14:00:00Z,2016,1,14,15,0.07090830157734794,0.0815024805102764,9341
2016-01-14T15:00:00Z,2016,1,14,16,0.00530606338333896,0.13111268603827073,9453
2016-01-14T16:00:00Z,2016,1,14,17,4.823693984853601e-4,0.1630049610205528,9723
2016-01-14T17:00:00Z,2016,1,14,18,0,0.2019844082211198,9551
2016-01-14T18:00:00Z,2016,1,14,19,0,0.2090715804394047,9377
2016-01-14T19:00:00Z,2016,1,14,20,0,0.2161587526576896,9113
2016-01-14T20:00:00Z,2016,1,14,21,0,0.18781006378455,8591
2016-01-14T21:00:00Z,2016,1,14,22,0,0.148830616583983,8112
2016-01-14T22:00:00Z,2016,1,14,23,0,0.18781006378455,7702
2016-01-14T23:00:00Z,2016,1,15,0,0,0.2161587526576896,7440
2016-01-15T00:00:00Z,2016,1,15,1,0,0.2303330970942594,7543
2016-01-15T01:00:00Z,2016,1,15,2,0,0.24096385542168677,7410
